metadata.title,links.doi,metadata.license.id,stats.unique_downloads,stats.downloads,stats.views,topic_id,topic
Webis-Web-Archive-17,https://doi.org/10.5281/zenodo.1002204,CC-BY-SA-4.0,48193,75630,473,7,Other
Gold standard for tractogram io testing,https://doi.org/10.5281/zenodo.2651349,CC-BY-4.0,31474,151443,9,6,Health
Corpus Linguistic Analysis of the BMSatire Descriptions corpus,https://doi.org/10.5281/zenodo.3245017,CC-BY-NC-SA-4.0,22026,35018,101,7,Other
The Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS),https://doi.org/10.5281/zenodo.1188976,CC-BY-NC-SA-4.0,18824,202785,61412,7,Other
Bacterial training dataset for Galaxy training network tutorials on Genome assembly,https://doi.org/10.5281/zenodo.582600,CC-BY-4.0,18679,30415,10395,0,AI/ML
LUNA16 Part 1/2,https://doi.org/10.5281/zenodo.2604219,CC-BY-4.0,18549,323522,8737,7,Other
Hacker News Curated Comments Dataset,https://doi.org/10.5281/zenodo.45901,CC0-1.0,16877,22417,7394,0,AI/ML
Training data for ChIP-seq data analysis (Galaxy Training Material): Identification of the binding sites of the Estrogen receptor,https://doi.org/10.5281/zenodo.892432,CC-BY-4.0,16080,35139,4029,1,Astronomy
UrbanSound8K,https://doi.org/10.5281/zenodo.1203745,CC-BY-NC-4.0,15629,47946,1033,7,Other
Reference-based RNA-seq data analysis (training data),https://doi.org/10.5281/zenodo.1185122,CC-BY-4.0,12860,31873,11938,2,Biology
Test dataset for ProteinID,https://doi.org/10.5281/zenodo.892005,CC-BY-4.0,11638,17593,4080,0,AI/ML
Abstracts from the Digital Humanities Conference 2005-2018,https://doi.org/10.5281/zenodo.1403230,CC-BY-NC-4.0,10844,16047,57,6,Health
Topical alignment in online social systems,https://doi.org/10.5281/zenodo.833390,CC-BY-4.0,9395,13219,34,9,Social Science
"Application Domain of 5,000 GitHub Repositories",https://doi.org/10.5281/zenodo.804474,CC-BY-4.0,8894,9958,887,7,Other
Silva taxonomic training data formatted for DADA2 (Silva version 132),https://doi.org/10.5281/zenodo.1172783,other-nc,8543,15469,14255,7,Other
Sample datasets for Galaxy NGS tutorial,https://doi.org/10.5281/zenodo.583613,CC-BY-4.0,7947,13070,160,0,AI/ML
Aurorasaurus Real-Time Citizen Science Aurora Data,https://doi.org/10.5281/zenodo.1255196,CC-BY-NC-4.0,7789,10804,306,7,Other
Imbalanced dataset for benchmarking,https://doi.org/10.5281/zenodo.61452,ODbL-1.0,7567,9524,857,0,AI/ML
"TAU Urban Acoustic Scenes 2019, Development dataset",https://doi.org/10.5281/zenodo.2589280,other-nc,7484,57335,3421,0,AI/ML
Training data for 'Mapping-by-sequencing' tutorial (Galaxy Training Material),https://doi.org/10.5281/zenodo.1098034,CC-BY-4.0,7154,9506,4086,2,Biology
ConceptNet Vector Ensemble 16.04 input data,https://doi.org/10.5281/zenodo.1208722,CC-BY-SA-4.0,6958,7845,44,6,Health
"TUT Urban Acoustic Scenes 2018, Development dataset",https://doi.org/10.5281/zenodo.1228142,other-nc,6847,85091,3835,0,AI/ML
